Column1,Column2,Column3
-154.7769806,-372.3371236,17.97167218
-155.2818686,-373.2105939,18.07256134
-155.7859308,-374.0834489,18.17335591
-156.2891129,-374.9557675,18.27406004
-156.7913604,-375.8276287,18.37467785
-157.2926188,-376.6991112,18.4752135
-157.7928336,-377.570294,18.57567117
-158.2919504,-378.441256,18.67605505
-158.7899147,-379.3120761,18.77636936
-159.2866721,-380.1828331,18.87661833
-159.782168,-381.0536059,18.97680623
-160.2763481,-381.9244734,19.07693735
-160.7691579,-382.7955145,19.17701602
-161.2605429,-383.666808,19.2770466
-161.758739,-384.5532096,19.37872783
-162.2553481,-385.4400368,19.48036852
-162.7503127,-386.3273726,19.58197339
-163.2435758,-387.2153,19.68354718
-163.7350798,-388.103902,19.78509469
-164.2247677,-388.9932615,19.88662077
-164.7125821,-389.8834614,19.98813032
-165.1984657,-390.7745848,20.08962829
-165.6823613,-391.6667146,20.19111969
-166.1642116,-392.5599338,20.2926096
-166.6439592,-393.4543253,20.39410315
-167.121547,-394.3499721,20.49560553
-167.5969177,-395.2469572,20.597122
-168.0700139,-396.1453635,20.6986579
-168.5407783,-397.045274,20.80021863
-169.0091538,-397.9467717,20.90180965
-169.4750831,-398.8499394,21.00343653
-169.9385088,-399.7548603,21.10510487
-170.3917138,-400.6464891,21.2051247
-170.8423883,-401.5399722,21.1711822
-171.2904776,-402.4353884,21.12173236
-171.7359274,-403.3328166,21.07225175
-172.1786832,-404.2323357,21.02273751
-172.6186905,-405.1340246,20.97318679
-173.0558948,-406.0379622,20.92359667
-173.4902418,-406.9442273,20.8739642
-173.9216768,-407.8528989,20.82428637
-174.3501456,-408.7640558,20.77456016
-174.7755935,-409.6777769,20.72478247
-175.1979663,-410.5941412,20.67495019
-175.6172093,-411.5132274,20.62506013
-176.0332681,-412.4351144,20.57510908
-176.4460883,-413.3598813,20.52509378
-176.8556154,-414.2876067,20.47501091
-177.2617949,-415.2183697,20.42485713
-177.6645725,-416.1522491,20.37462902
-178.0571544,-417.0734141,20.32517644
-178.4463444,-417.997742,20.27564537
-178.8320905,-418.9253076,20.22603245
-179.2143412,-419.856186,20.17633426
-179.5930446,-420.790452,20.12654734
-179.9681489,-421.7281806,20.07666818
-180.3396026,-422.6694468,20.02669323
-180.7073538,-423.6143254,19.9766189
-181.0713507,-424.5628915,19.92644154
-181.425364,-425.4987682,19.87702535
-181.7756524,-426.4383498,19.82750254
-182.1221668,-427.3817075,19.77786952
-182.4651113,-428.3312318,19.72801068
-182.7995237,-429.2945411,19.67765076
-183.1218311,-430.2632134,19.77973935
-183.4314249,-431.2293238,19.88118972
-183.7277544,-432.1855192,19.9812957
-184.0184276,-433.152326,20.08225145
-184.3031701,-434.126218,20.1837179
-184.5817262,-435.1038405,20.28537119
-184.8538585,-436.0820041,20.38690247
-185.1193463,-437.0576787,20.48801748
-185.3779851,-438.0279876,20.58843627
-185.6379939,-439.022665,20.69124619
-185.890869,-440.0081257,20.792985
-186.1364404,-440.9818161,20.89340304
-186.3830736,-441.9759352,20.99582866
-186.6221682,-442.9548876,21.09660137
-186.8621718,-443.9523545,21.19919484
-187.0944273,-444.9314888,21.29982519
-187.3274552,-445.9273638,21.4021027
-187.5525493,-446.9019589,21.50212785
-187.7782947,-447.8916531,21.6036392
-188.0046597,-448.896238,21.70661648
-188.222873,-449.8760338,21.8069966
-188.4416013,-450.8692193,21.90869515
-188.6608163,-451.8756092,22.01169398
-188.8716944,-452.8539945,22.11177931
-189.0829699,-453.8442146,22.21303014
-189.2946179,-454.8461056,22.222222
-189.5066131,-455.8595039,22.222222
-189.710078,-456.8413236,22.222222
-189.9138169,-457.833417,22.222222
-190.1178076,-458.8356398,22.222222
-190.3220283,-459.8478478,22.222222
-190.5264568,-460.869897,22.222222
-190.7221712,-461.8565849,22.222222
-190.9180363,-462.8520186,22.222222
-191.1140328,-463.856072,22.222222
-191.3101414,-464.8686189,22.222222
-191.5063428,-465.8895332,22.222222
-191.7026177,-466.9186886,22.222222
-191.8900219,-467.9086361,22.222222
-192.0774587,-468.9058678,22.222222
-192.2649114,-469.9102742,22.222222
-192.4523631,-470.9217453,22.222222
-192.6397972,-471.9401715,22.222222
-192.8271967,-472.965443,22.222222
-193.014545,-473.9974501,22.222222
-193.1929089,-474.9864757,22.222222
-193.3711967,-475.9814164,22.222222
-193.5493937,-476.9821773,22.222222
-193.7274855,-477.9886636,22.222222
-193.9054576,-479.0007806,22.222222
-194.0832955,-480.0184335,22.222222
-194.2609847,-481.0415274,22.222222
-194.4385108,-482.0699676,22.222222
-194.6158591,-483.1036592,22.222222
-194.7841623,-484.0904441,22.222222
-194.9522796,-485.0818015,22.222222
