Column1,Column2,Column3,Column4
-135.998,-315.34,17.895,41.498
-136.023,-316.529,17.822,41.565
-136.068,-317.711,17.69,41.632
-136.134,-318.879,17.508,41.699
-136.21,-320.033,17.293,41.766
-136.296,-321.172,17.069,41.833
-136.396,-322.296,16.86,41.9
-136.512,-323.406,16.683,41.967
-136.635,-324.505,16.553,42.034
-136.768,-325.597,16.468,42.101
-136.916,-326.684,16.423,42.168
-137.081,-327.766,16.41,42.235
-137.265,-328.847,16.425,42.302
-137.47,-329.925,16.463,42.369
-137.683,-331.005,16.525,42.436
-137.908,-332.087,16.599,42.503
-138.149,-333.171,16.668,42.57
-138.408,-334.254,16.71,42.637
-138.685,-335.334,16.707,42.704
-138.98,-336.405,16.652,42.771
-139.282,-337.468,16.547,42.838
-139.591,-338.519,16.399,42.905
-139.911,-339.556,16.224,42.972
-140.243,-340.576,16.04,43.039
-140.589,-341.579,15.867,43.106
-140.95,-342.566,15.719,43.173
-141.316,-343.543,15.611,43.24
-141.69,-344.512,15.549,43.307
-142.076,-345.473,15.524,43.374
-142.466,-346.433,15.536,43.441
-142.863,-347.392,15.57,43.508
-143.273,-348.349,15.624,43.575
-143.687,-349.308,15.684,43.642
-144.109,-350.267,15.727,43.709
-144.543,-351.223,15.738,43.776
-144.99,-352.173,15.739,43.843
-145.439,-353.121,15.736,43.91
-145.884,-354.071,15.757,43.977
-146.333,-355.023,15.804,44.044
-146.793,-355.975,15.864,44.111
-147.265,-356.925,15.949,44.178
-147.743,-357.88,16.041,44.245
-148.218,-358.843,16.153,44.312
-148.7,-359.813,16.275,44.379
-149.194,-360.785,16.396,44.446
-149.703,-361.76,16.534,44.513
-150.217,-362.742,16.68,44.58
-150.729,-363.736,16.818,44.647
-151.236,-364.744,16.972,44.714
-151.748,-365.761,17.131,44.781
-152.271,-366.784,17.289,44.848
-152.81,-367.81,17.439,44.915
-153.367,-368.839,17.604,44.982
-153.932,-369.876,17.773,45.049
-154.498,-370.924,17.927,45.116
-155.059,-371.987,18.091,45.183
-155.626,-373.06,18.247,45.25
-156.202,-374.137,18.378,45.317
-156.792,-375.217,18.501,45.384
-157.387,-376.302,18.607,45.451
-157.979,-377.396,18.687,45.518
-158.563,-378.499,18.766,45.585
-159.149,-379.608,18.841,45.652
-159.743,-380.717,18.91,45.719
-160.349,-381.827,18.997,45.786
-160.96,-382.941,19.095,45.853
-161.567,-384.064,19.191,45.92
-162.169,-385.199,19.304,45.987
-162.772,-386.341,19.415,46.054
-163.382,-387.488,19.539,46.121
-163.995,-388.644,19.661,46.188
-164.604,-389.81,19.788,46.255
-165.217,-390.985,19.92,46.322
-165.829,-392.17,20.053,46.389
-166.445,-393.363,20.194,46.456
-167.062,-394.566,20.332,46.523
-167.674,-395.783,20.479,46.59
-168.29,-397.008,20.619,46.657
-168.914,-398.24,20.767,46.724
-169.54,-399.482,20.916,46.791
-170.163,-400.736,21.06,46.858
-170.777,-402.006,21.201,46.925
-171.381,-403.291,21.355,46.992
-171.984,-404.588,21.501,47.059
-172.592,-405.891,21.599,47.126
-173.21,-407.193,21.636,47.193
-173.828,-408.492,21.58,47.26
-174.436,-409.788,21.428,47.327
-175.027,-411.076,21.198,47.394
-175.597,-412.354,20.919,47.461
-176.142,-413.622,20.617,47.528
-176.67,-414.876,20.318,47.595
-177.19,-416.113,20.047,47.662
-177.698,-417.338,19.823,47.729
-178.19,-418.556,19.644,47.796
-178.664,-419.772,19.507,47.863
-179.118,-420.987,19.412,47.93
-179.562,-422.2,19.345,47.997
-180.006,-423.41,19.31,48.064
-180.445,-424.621,19.303,48.131
-180.873,-425.836,19.316,48.198
-181.288,-427.057,19.346,48.265
-181.687,-428.287,19.401,48.332
-182.081,-429.523,19.462,48.399
-182.478,-430.762,19.54,48.466
-182.873,-432.008,19.629,48.533
-183.259,-433.263,19.724,48.6
-183.633,-434.529,19.822,48.667
-183.993,-435.806,19.937,48.734
-184.35,-437.092,20.06,48.801
-184.713,-438.385,20.175,48.868
-185.086,-439.683,20.304,48.935
-185.463,-440.989,20.437,49.002
-185.835,-442.306,20.57,49.069
-186.196,-443.635,20.699,49.136
-186.543,-444.976,20.828,49.203
-186.874,-446.332,20.972,49.27
-187.2,-447.698,21.119,49.337
-187.531,-449.073,21.255,49.404
-187.871,-450.455,21.4,49.471
-188.214,-451.846,21.547,49.538
-188.552,-453.248,21.69,49.605
-188.88,-454.663,21.828,49.672
-189.195,-456.09,21.977,49.739
-189.506,-457.528,22.118,49.806
-189.819,-458.975,22.263,49.873
-190.131,-460.432,22.408,49.94
-190.435,-461.901,22.549,50.007
-190.729,-463.382,22.698,50.074
-191.02,-464.873,22.848,50.141
-191.318,-466.373,22.979,50.208
-191.626,-467.878,23.087,50.275
-191.937,-469.388,23.144,50.342
-192.242,-470.899,23.126,50.409
-192.535,-472.408,23.034,50.476
-192.812,-473.91,22.885,50.543
-193.08,-475.403,22.697,50.61
-193.349,-476.882,22.494,50.677
-193.622,-478.346,22.302,50.744
-193.895,-479.8,22.142,50.811
-194.16,-481.246,22.017,50.878
-194.413,-482.688,21.924,50.945
-194.661,-484.126,21.857,51.012
-194.913,-485.56,21.818,51.079
-195.161,-486.993,21.802,51.146
-195.4,-488.428,21.803,51.213
-195.626,-489.865,21.827,51.28
-195.849,-491.306,21.866,51.347
-196.078,-492.748,21.911,51.414
-196.316,-494.192,21.973,51.481
-196.557,-495.641,22.046,51.548
-196.793,-497.095,22.12,51.615
-197.019,-498.557,22.208,51.682
-197.245,-500.024,22.303,51.749
-197.476,-501.498,22.396,51.816
-197.72,-502.976,22.502,51.883
-197.966,-504.46,22.613,51.95
-198.207,-505.953,22.72,52.017
-198.438,-507.455,22.813,52.084
-198.654,-508.964,22.887,52.151
-198.865,-510.476,22.92,52.218
-199.078,-511.988,22.892,52.285
-199.3,-513.493,22.813,52.352
-199.521,-514.992,22.69,52.419
-199.735,-516.482,22.543,52.486
-199.937,-517.963,22.391,52.553
-200.135,-519.436,22.255,52.62
-200.338,-520.901,22.148,52.687
-200.549,-522.359,22.073,52.754
-200.762,-523.813,22.024,52.821
